url,storeName,storeNumber,city,state,zip,googleMatchCount
https://www.homedepot.com/l/N-Phoenix/AZ/Phoenix/85022/401,N Phoenix,401,Phoenix,AZ,85022,2
https://www.homedepot.com/l/Neshaminy/PA/Bensalem/19020/4134,Neshaminy,4134,Bensalem,PA,19020,2
https://www.homedepot.com/l/New-Braunfels/TX/New-Braunfels/78130/8520,New Braunfels,8520,New Braunfels,TX,78130,2
https://www.homedepot.com/l/Niles/IL/Niles/60714/1907,Niles,1907,Niles,IL,60714,2
https://www.homedepot.com/l/North-Austin/TX/Austin/78759/6839,North Austin,6839,Austin,TX,78759,2
https://www.homedepot.com/l/North-Baton-Rouge/LA/Baton-Rouge/70815/367,North Baton Rouge,367,Baton Rouge,LA,70815,3
https://www.homedepot.com/l/North-Lafayette/LA/Lafayette/70501/376,North Lafayette,376,Lafayette,LA,70501,2
https://www.homedepot.com/l/North-Lilburn/GA/Lilburn/30047/1775,North Lilburn,1775,Lilburn,GA,30047,2
https://www.homedepot.com/l/North-San-Antonio/TX/San-Antonio/78249/588,North San Antonio,588,San Antonio,TX,78249,2
https://www.homedepot.com/l/North-Tacoma/WA/Tacoma/98409/4720,North Tacoma,4720,Tacoma,WA,98409,2
https://www.homedepot.com/l/Norwood/MA/Norwood/02062/2681,Norwood,2681,Norwood,MA,02062,2
https://www.homedepot.com/l/Olathe/KS/Olathe/66062/2201,Olathe,2201,Olathe,KS,66062,2
https://www.homedepot.com/l/Ontario/OH/Mansfield/44906/3846,Ontario,3846,Mansfield,OH,44906,2
https://www.homedepot.com/l/Ontario/OR/Ontario/97914/4025,Ontario,4025,Ontario,OR,97914,2
https://www.homedepot.com/l/Osage-Beach/MO/Osage-Beach/65065/3027,Osage Beach,3027,Osage Beach,MO,65065,2
https://www.homedepot.com/l/Otay-Mesa/CA/San-Diego/92154/1034,Otay Mesa,1034,San Diego,CA,92154,2
https://www.homedepot.com/l/Parkville/MD/Parkville/21234/2577,Parkville,2577,Parkville,MD,21234,2
https://www.homedepot.com/l/Pasadena/MD/Glen-Burnie/21060/2582,Pasadena,2582,Glen Burnie,MD,21060,3
https://www.homedepot.com/l/Peoria/IL/Peoria/61615/1978,Peoria,1978,Peoria,IL,61615,2
https://www.homedepot.com/l/Prattville/AL/Prattville/36066/806,Prattville,806,Prattville,AL,36066,2
https://www.homedepot.com/l/Quincy-II/MA/Quincy/02169/2608,Quincy II,2608,Quincy,MA,02169,2
https://www.homedepot.com/l/Quincy/MA/Quincy/02169/2670,Quincy,2670,Quincy,MA,02169,2
https://www.homedepot.com/l/Redding/CA/Redding/96003/6682,Redding,6682,Redding,CA,96003,2
https://www.homedepot.com/l/Round-Rock/TX/Round-Rock/78664/504,Round Rock,504,Round Rock,TX,78664,2
https://www.homedepot.com/l/S-Annapolis/MD/Annapolis/21401/2589,S Annapolis,2589,Annapolis,MD,21401,2
https://www.homedepot.com/l/SE-Military/TX/San-Antonio/78223/6988,SE Military,6988,San Antonio,TX,78223,2
https://www.homedepot.com/l/SW-Las-Vegas/NV/Las-Vegas/89147/3314,SW Las Vegas,3314,Las Vegas,NV,89147,2
https://www.homedepot.com/l/Saratoga-Springs/UT/Saratoga-Springs/84045/4461,Saratoga Springs,4461,Saratoga Springs,UT,84045,3
https://www.homedepot.com/l/Sebring/FL/Sebring/33870/6340,Sebring,6340,Sebring,FL,33870,2
https://www.homedepot.com/l/Seguin/TX/Seguin/78155/8437,Seguin,8437,Seguin,TX,78155,2
https://www.homedepot.com/l/Sierra-Vista/AZ/Sierra-Vista/85635/443,Sierra Vista,443,Sierra Vista,AZ,85635,2
https://www.homedepot.com/l/Signal-Hill/CA/Signal-Hill/90755/648,Signal Hill,648,Signal Hill,CA,90755,2
https://www.homedepot.com/l/Slaughter-Lane/TX/Austin/78744/6563,Slaughter Lane,6563,Austin,TX,78744,2
https://www.homedepot.com/l/South-Fresno/CA/Fresno/93727/1086,South Fresno,1086,Fresno,CA,93727,2
https://www.homedepot.com/l/South-Olathe/KS/Olathe/66062/2218,South Olathe,2218,Olathe,KS,66062,2
https://www.homedepot.com/l/South-Southington/CT/Southington/06489/6235,South Southington,6235,Southington,CT,06489,2
https://www.homedepot.com/l/Southington/CT/Southington/06489/6208,Southington,6208,Southington,CT,06489,2
https://www.homedepot.com/l/Southland/FL/Orlando/32809/232,Southland,232,Orlando,FL,32809,2
https://www.homedepot.com/l/Spring-Valley/TX/Houston/77024/6985,Spring Valley,6985,Houston,TX,77024,2
https://www.homedepot.com/l/Superstition/AZ/Mesa/85209/456,Superstition,456,Mesa,AZ,85209,3
https://www.homedepot.com/l/Suwanee/GA/Suwanee/30024/1754,Suwanee,1754,Suwanee,GA,30024,2
https://www.homedepot.com/l/Tacoma/WA/Tacoma/98409/4701,Tacoma,4701,Tacoma,WA,98409,2
