url,storeName,storeNumber,city,state,zip
https://www.homedepot.com/l/North-Myrtle-Beach/SC/North-Myrtle-Beach/29582/1121,North Myrtle Beach,1121,North Myrtle Beach,SC,29582
https://www.homedepot.com/l/North-Olmsted/OH/North-Olmsted/44070/3803,North Olmsted,3803,North Olmsted,OH,44070
https://www.homedepot.com/l/North-Tucson-Oro-Valley/AZ/Oro-Valley/85737/481,North Tucson Oro Valley,481,Oro Valley,AZ,85737
https://www.homedepot.com/l/North-Tulsa/OK/Tulsa/74120/3904,North Tulsa,3904,Tulsa,OK,74120
https://www.homedepot.com/l/North-Upland/CA/Upland/91784/1083,North Upland,1083,Upland,CA,91784
https://www.homedepot.com/l/North-Versailles/PA/North-Versailles/15137/4156,North Versailles,4156,North Versailles,PA,15137
https://www.homedepot.com/l/North-Windham/ME/Windham/04062/2412,North Windham,2412,Windham,ME,04062
https://www.homedepot.com/l/Oak-Ridge/TN/Oak-Ridge/37830/736,Oak Ridge,736,Oak Ridge,TN,37830
https://www.homedepot.com/l/Ocala/FL/Ocala/34474/253,Ocala,253,Ocala,FL,34474
https://www.homedepot.com/l/Odessa/TX/Odessa/79762/562,Odessa,562,Odessa,TX,79762
https://www.homedepot.com/l/Ohio-Township/PA/Pittsburgh/15237/4123,Ohio Township,4123,Pittsburgh,PA,15237
https://www.homedepot.com/l/Oil-City/PA/Franklin/16323/4178,Oil City,4178,Franklin,PA,16323
https://www.homedepot.com/l/Olive-Branch/MS/Olive-Branch/38654/8469,Olive Branch,8469,Olive Branch,MS,38654
https://www.homedepot.com/l/Ontario/CA/Ontario/91762/6884,Ontario,6884,Ontario,CA,91762
https://www.homedepot.com/l/Orange-K/CA/Orange/92865/6965,Orange K,6965,Orange,CA,92865
https://www.homedepot.com/l/Orange-Park/FL/Orange-Park/32073/275,Orange Park,275,Orange Park,FL,32073
https://www.homedepot.com/l/Oswego/IL/Oswego/60543/1975,Oswego,1975,Oswego,IL,60543
https://www.homedepot.com/l/Owasso/OK/Owasso/74055/8922,Owasso,8922,Owasso,OK,74055
https://www.homedepot.com/l/Owensboro/KY/Owensboro/42301/2317,Owensboro,2317,Owensboro,KY,42301
https://www.homedepot.com/l/Oxford/MS/Oxford/38655/2914,Oxford,2914,Oxford,MS,38655
https://www.homedepot.com/l/Oxnard/CA/Oxnard/93036/1040,Oxnard,1040,Oxnard,CA,93036
https://www.homedepot.com/l/Paducah/KY/Paducah/42001/2314,Paducah,2314,Paducah,KY,42001
https://www.homedepot.com/l/Palatka/FL/Palatka/32177/8531,Palatka,8531,Palatka,FL,32177
https://www.homedepot.com/l/Palm-Beach-Gardens/FL/Palm-Beach-Gardens/33418/3117,Palm Beach Gardens,3117,Palm Beach Gardens,FL,33418
https://www.homedepot.com/l/Palm-Coast/FL/Palm-Coast/32137/6363,Palm Coast,6363,Palm Coast,FL,32137
https://www.homedepot.com/l/Palm-Springs/CA/Palm-Springs/92264/8526,Palm Springs,8526,Palm Springs,CA,92264
https://www.homedepot.com/l/Palmdale/CA/Palmdale/93551/638,Palmdale,638,Palmdale,CA,93551
https://www.homedepot.com/l/Paris/TX/Paris/75460/6566,Paris,6566,Paris,TX,75460
https://www.homedepot.com/l/Patchogue-West/NY/Patchogue/11772/1258,Patchogue West,1258,Patchogue,NY,11772
https://www.homedepot.com/l/Penfield--Rochester/NY/Rochester/14625/1247,Penfield Rochester,1247,Rochester,NY,14625
https://www.homedepot.com/l/Perris/CA/Perris/92570/6875,Perris,6875,Perris,CA,92570
https://www.homedepot.com/l/Phillipsburg/NJ/Phillipsburg/08865/931,Phillipsburg,931,Phillipsburg,NJ,08865
https://www.homedepot.com/l/Picayune/MS/Picayune/39466/2915,Picayune,2915,Picayune,MS,39466
https://www.homedepot.com/l/Piqua/OH/Piqua/45356/3862,Piqua,3862,Piqua,OH,45356
https://www.homedepot.com/l/Pittsfield/MA/Pittsfield/01201/2683,Pittsfield,2683,Pittsfield,MA,01201
https://www.homedepot.com/l/Pleasant-Ridge/OH/Cincinnati/45213/3832,Pleasant Ridge,3832,Cincinnati,OH,45213
https://www.homedepot.com/l/Poplar-Midtown/TN/Memphis/38104/8916,Poplar Midtown,8916,Memphis,TN,38104
https://www.homedepot.com/l/Port-St-Lucie-South/FL/Port-Saint-Lucie/34953/6934,Port St Lucie South,6934,Port Saint Lucie,FL,34953
https://www.homedepot.com/l/Portland/ME/Portland/04103/2401,Portland,2401,Portland,ME,04103
https://www.homedepot.com/l/Portsmouth/VA/Chesapeake/23321/4622,Portsmouth,4622,Chesapeake,VA,23321
https://www.homedepot.com/l/Pueblo/CO/Pueblo/81008/1511,Pueblo,1511,Pueblo,CO,81008
https://www.homedepot.com/l/Quincy/IL/Quincy/62305/1915,Quincy,1915,Quincy,IL,62305
https://www.homedepot.com/l/Rancho-Cordova/CA/Rancho-Cordova/95742/652,Rancho Cordova,652,Rancho Cordova,CA,95742
https://www.homedepot.com/l/Rancho-Cucamonga/CA/Rancho-Cucamonga/91730/645,Rancho Cucamonga,645,Rancho Cucamonga,CA,91730
https://www.homedepot.com/l/Rancho-Mirage/CA/Rancho-Mirage/92270/667,Rancho Mirage,667,Rancho Mirage,CA,92270
https://www.homedepot.com/l/Ranson/WV/Ranson/25438/4805,Ranson,4805,Ranson,WV,25438
https://www.homedepot.com/l/Redlands/CA/Redlands/92374/1013,Redlands,1013,Redlands,CA,92374
https://www.homedepot.com/l/Regency-Square/FL/Jacksonville/32225/272,Regency Square,272,Jacksonville,FL,32225
https://www.homedepot.com/l/Rialto/CA/Rialto/92376/6683,Rialto,6683,Rialto,CA,92376
https://www.homedepot.com/l/Richmond-W-Broad/VA/Glen-Allen/23060/4611,Richmond W Broad,4611,Glen Allen,VA,23060
https://www.homedepot.com/l/Riverside/CA/Riverside/92504/6619,Riverside,6619,Riverside,CA,92504
https://www.homedepot.com/l/Rocky-River/OH/Rocky-River/44116/3847,Rocky River,3847,Rocky River,OH,44116
https://www.homedepot.com/l/Rogers/AR/Rogers/72758/8445,Rogers,8445,Rogers,AR,72758
https://www.homedepot.com/l/Roseburg/OR/Roseburg/97470/4020,Roseburg,4020,Roseburg,OR,97470
https://www.homedepot.com/l/Roseville/CA/Roseville/95661/636,Roseville,636,Roseville,CA,95661
https://www.homedepot.com/l/Ross-Township/PA/Pittsburgh/15237/4159,Ross Township,4159,Pittsburgh,PA,15237
https://www.homedepot.com/l/Rossford/OH/Rossford/43460/3858,Rossford,3858,Rossford,OH,43460
https://www.homedepot.com/l/Royal-Palm/FL/West-Palm-Beach/33414/6379,Royal Palm,6379,West Palm Beach,FL,33414
https://www.homedepot.com/l/SE-Knoxville/TN/Knoxville/37920/773,SE Knoxville,773,Knoxville,TN,37920
https://www.homedepot.com/l/SW-Bakersfield/CA/Bakersfield/93313/6687,SW Bakersfield,6687,Bakersfield,CA,93313
https://www.homedepot.com/l/SW-Greenville/SC/Greenville/29605/1127,SW Greenville,1127,Greenville,SC,29605
https://www.homedepot.com/l/SW-Richmond/VA/Midlothian/23112/4627,SW Richmond,4627,Midlothian,VA,23112
https://www.homedepot.com/l/SW-Tulsa/OK/Tulsa/74137/3915,SW Tulsa,3915,Tulsa,OK,74137
https://www.homedepot.com/l/Salem/OH/Salem/44460/3877,Salem,3877,Salem,OH,44460
https://www.homedepot.com/l/San-Bernardino/CA/San-Bernardino/92405/683,San Bernardino,683,San Bernardino,CA,92405
https://www.homedepot.com/l/Sandpoint/ID/Ponderay/83852/1810,Sandpoint,1810,Ponderay,ID,83852
https://www.homedepot.com/l/Sandusky/OH/Sandusky/44870/3866,Sandusky,3866,Sandusky,OH,44870
https://www.homedepot.com/l/Santa-Ana/CA/Santa-Ana/92704/606,Santa Ana,606,Santa Ana,CA,92704
https://www.homedepot.com/l/Santa-Clarita/CA/Santa-Clarita/91351/653,Santa Clarita,653,Santa Clarita,CA,91351
https://www.homedepot.com/l/Santa-Rosa/CA/Santa-Rosa/95403/1379,Santa Rosa,1379,Santa Rosa,CA,95403
https://www.homedepot.com/l/Savannah/GA/Savannah/31419/122,Savannah,122,Savannah,GA,31419
https://www.homedepot.com/l/Schenectady/NY/Schenectady/12304/1239,Schenectady,1239,Schenectady,NY,12304
https://www.homedepot.com/l/Sebastian/FL/Sebastian/32958/8545,Sebastian,8545,Sebastian,FL,32958
https://www.homedepot.com/l/Selden/NY/Selden/11784/1209,Selden,1209,Selden,NY,11784
https://www.homedepot.com/l/Seneca/NY/West-Seneca/14224/1231,Seneca,1231,West Seneca,NY,14224
https://www.homedepot.com/l/Seneca/SC/Seneca/29678/1130,Seneca,1130,Seneca,SC,29678
https://www.homedepot.com/l/Sevierville/TN/Sevierville/37876/739,Sevierville,739,Sevierville,TN,37876
https://www.homedepot.com/l/Shallotte/NC/Shallotte/28470/3648,Shallotte,3648,Shallotte,NC,28470
https://www.homedepot.com/l/Sherman/TX/Sherman/75092/518,Sherman,518,Sherman,TX,75092
https://www.homedepot.com/l/Shirley/NY/Shirley/11967/1282,Shirley,1282,Shirley,NY,11967
https://www.homedepot.com/l/Shreveport/LA/Shreveport/71106/356,Shreveport,356,Shreveport,LA,71106
https://www.homedepot.com/l/Simi-Valley/CA/Simi-Valley/93065/6640,Simi Valley,6640,Simi Valley,CA,93065
https://www.homedepot.com/l/Simpsonville/SC/Simpsonville/29680/1124,Simpsonville,1124,Simpsonville,SC,29680
https://www.homedepot.com/l/Slidell-East/LA/Slidell/70461/386,Slidell East,386,Slidell,LA,70461
https://www.homedepot.com/l/Slidell/LA/Slidell/70460/365,Slidell,365,Slidell,LA,70460
https://www.homedepot.com/l/Smithtown/NY/Commack/11725/6167,Smithtown,6167,Commack,NY,11725
https://www.homedepot.com/l/South-Cape-Coral/FL/Cape-Coral/33914/6975,South Cape Coral,6975,Cape Coral,FL,33914
https://www.homedepot.com/l/South-Chesapeake/VA/Chesapeake/23322/4656,South Chesapeake,4656,Chesapeake,VA,23322
https://www.homedepot.com/l/South-Chino/CA/Chino/91710/6876,South Chino,6876,Chino,CA,91710
https://www.homedepot.com/l/South-Corona/CA/Corona/92881/6665,South Corona,6665,Corona,CA,92881
https://www.homedepot.com/l/South-Elgin/IL/South-Elgin/60177/6923,South Elgin,6923,South Elgin,IL,60177
https://www.homedepot.com/l/South-Fontana/CA/Fontana/92337/1857,South Fontana,1857,Fontana,CA,92337
https://www.homedepot.com/l/South-Naples/FL/Naples/34112/6348,South Naples,6348,Naples,FL,34112
https://www.homedepot.com/l/South-Portland/ME/South-Portland/04106/2406,South Portland,2406,South Portland,ME,04106
https://www.homedepot.com/l/South-Richmond-Chester/VA/Chester/23831/4616,South Richmond Chester,4616,Chester,VA,23831
https://www.homedepot.com/l/South-San-Bernardino/CA/San-Bernardino/92408/610,South San Bernardino,610,San Bernardino,CA,92408
https://www.homedepot.com/l/South-Tulsa/OK/Tulsa/74133/3903,South Tulsa,3903,Tulsa,OK,74133
https://www.homedepot.com/l/Southaven/MS/Horn-Lake/38637/2903,Southaven,2903,Horn Lake,MS,38637
